"Source Url","Url","Column 4","Country","Us$"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Anguilla","#Rank:—","#Country:Anguilla","#Us$:19,886"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Czech_Republic","#Rank:43","#Country:Czech Republic","#Us$:19,510"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Estonia","#Rank:44","#Country:Estonia","#Us$:19,328"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Netherlands_Antilles","#Rank:—","#Country:Netherlands Antilles","#Us$:18,360"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Trinidad_and_Tobago","#Rank:45","#Country:Trinidad and Tobago","#Us$:18,240"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Slovakia","#Rank:46","#Country:Slovakia","#Us$:17,928"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Uruguay","#Rank:47","#Country:Uruguay","#Us$:16,351"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Cook_Islands","#Rank:—","#Country:Cook Islands","#Us$:16,002"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Chile","#Rank:48","#Country:Chile","#Us$:15,723"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Seychelles","#Rank:49","#Country:Seychelles","#Us$:15,565"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Lithuania","#Rank:50","#Country:Lithuania","#Us$:15,381"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Nauru","#Rank:51","#Country:Nauru","#Us$:15,211"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Latvia","#Rank:52","#Country:Latvia","#Us$:15,064"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Barbados","#Rank:53","#Country:Barbados","#Us$:14,854"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Argentina","#Rank:54","#Country:Argentina","#Us$:14,760"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Russia","#Rank:55","#Country:Russia","#Us$:14,680"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Antigua_and_Barbuda","#Rank:56","#Country:Antigua and Barbuda","#Us$:13,790"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Poland","#Rank:57","#Country:Poland","#Us$:13,760"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Saint_Kitts_and_Nevis","#Rank:58","#Country:Saint Kitts and Nevis","#Us$:13,710"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Kazakhstan","#Rank:59","#Country:Kazakhstan","#Us$:13,650"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Croatia","#Rank:60","#Country:Croatia","#Us$:13,490"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Hungary","#Rank:61","#Country:Hungary","#Us$:13,403"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Venezuela","#Rank:62","#Country:Venezuela","#Us$:12,213"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Libya","#Rank:63","#Country:Libya","#Us$:12,029"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Montserrat","#Rank:—","#Country:Montserrat","#Us$:11,565"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Palau","#Rank:64","#Country:Palau","#Us$:11,480"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Brazil","#Rank:65","#Country:Brazil","#Us$:11,199"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Turkey","#Rank:66","#Country:Turkey","#Us$:10,972"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/World","#Rank:—","#Country:World","#Us$:10,564"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Malaysia","#Rank:67","#Country:Malaysia","#Us$:10,514"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Panama","#Rank:68","#Country:Panama","#Us$:10,472"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Mexico","#Rank:69","#Country:Mexico","#Us$:10,293"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Costa_Rica","#Rank:70","#Country:Costa Rica","#Us$:10,185"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Gabon","#Rank:71","#Country:Gabon","#Us$:10,151"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Suriname","#Rank:72","#Country:Suriname","#Us$:9,826"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Lebanon","#Rank:73","#Country:Lebanon","#Us$:9,793"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Mauritius","#Rank:74","#Country:Mauritius","#Us$:9,593"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Romania","#Rank:75","#Country:Romania","#Us$:8,853"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Maldives","#Rank:76","#Country:Maldives","#Us$:8,220"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Turkmenistan","#Rank:77","#Country:Turkmenistan","#Us$:7,987"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Grenada","#Rank:78","#Country:Grenada","#Us$:7,843"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Colombia","#Rank:79","#Country:Colombia","#Us$:7,826"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Azerbaijan","#Rank:80","#Country:Azerbaijan","#Us$:7,814"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Belarus","#Rank:81","#Country:Belarus","#Us$:7,664"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Bulgaria","#Rank:82","#Country:Bulgaria","#Us$:7,543"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Saint_Lucia","#Rank:83","#Country:Saint Lucia","#Us$:7,328"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Botswana","#Rank:84","#Country:Botswana","#Us$:7,312"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Montenegro","#Rank:85","#Country:Montenegro","#Us$:7,109"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Cuba","#Rank:86","#Country:Cuba","#Us$:6,985"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/South_Africa","#Rank:87","#Country:South Africa","#Us$:6,936"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Dominica","#Rank:88","#Country:Dominica","#Us$:6,915"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/China","#Rank:89","#Country:China","#Us$:6,626"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Peru","#Rank:90","#Country:Peru","#Us$:6,593"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Saint_Vincent_and_the_Grenadines","#Rank:91","#Country:Saint Vincent and the Grenadines","#Us$:6,484"
